City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Kavaratti,IN,2022-07-12 01:45:36,10.5669,72.642,81.64,77,100,17.83
178,Labuhan,ID,2022-07-12 01:45:37,-6.8844,112.2051,82.11,73,2,5.99
179,Goure,NE,2022-07-12 01:46:37,13.9835,10.2704,86.02,33,46,4.07
180,Kinablangan,PH,2022-07-12 01:46:38,7.6947,126.5503,79.93,81,100,1.19
181,Bosaso,SO,2022-07-12 01:46:38,11.2842,49.1816,86.09,43,95,14.58
182,Hualmay,PE,2022-07-12 01:46:38,-11.0964,-77.6139,61.29,83,51,9.98
183,Asau,RO,2022-07-12 01:46:39,46.4333,26.4,51.28,83,30,5.79
184,Beringovskiy,RU,2022-07-12 01:46:39,63.05,179.3167,49.37,84,32,5.97
185,Buchanan,LR,2022-07-12 01:46:40,5.8808,-10.0467,74.77,88,100,7.87
186,Morehead,US,2022-07-12 01:46:40,37.2711,-87.1764,79.79,88,0,0.0
187,Vestmannaeyjar,IS,2022-07-12 01:46:40,63.4427,-20.2734,52.65,92,100,17.45
188,Klaksvik,FO,2022-07-12 01:46:41,62.2266,-6.589,50.92,90,74,39.46
189,Nyirmada,HU,2022-07-12 01:46:41,48.0667,22.2,48.2,84,18,3.83
190,Haskovo,BG,2022-07-12 01:46:42,41.9403,25.5694,57.92,51,47,9.19
191,Tupaciguara,BR,2022-07-12 01:46:42,-18.5922,-48.705,60.84,55,13,5.82
192,Seoul,KR,2022-07-12 01:42:50,37.5683,126.9778,81.97,63,0,5.75
193,Manggar,ID,2022-07-12 01:46:43,-2.8833,108.2667,84.56,74,67,9.06
194,Tura,IN,2022-07-12 01:46:43,25.5198,90.2201,82.8,73,1,3.6
195,Garissa,KE,2022-07-12 01:46:43,-0.4536,39.6401,70.74,76,4,16.22
196,Wencheng,CN,2022-07-12 01:46:44,33.0559,113.7978,91.42,60,100,11.32
197,Pisco,PE,2022-07-12 01:46:44,-13.7,-76.2167,60.85,82,40,10.36
198,Cozumel,MX,2022-07-12 01:46:45,20.5083,-86.9458,82.0,81,28,5.01
199,Bata,GQ,2022-07-12 01:46:45,1.8639,9.7658,71.46,94,40,4.61
200,Batsfjord,NO,2022-07-12 01:46:45,70.6345,29.7185,49.78,100,100,0.0
201,Tarko-Sale,RU,2022-07-12 01:46:46,64.9225,77.785,57.92,52,40,14.38
202,Kulhudhuffushi,MV,2022-07-12 01:46:46,6.6221,73.07,81.41,78,100,8.88
203,Ontario,US,2022-07-12 01:46:47,34.0633,-117.6509,96.4,47,20,13.8
